"","centroid","annotations","protein"
"9084","centroid_2853","   03036 Chromosome and associated proteins [BR:kpu03036]","minC"
"9085","centroid_2853","   04812 Cytoskeleton proteins [BR:kpu04812]","minC"
"9086","centroid_2853","  09182 Protein families: genetic information processing","minC"
"9087","centroid_2853","  09183 Protein families: signaling and cellular processes","minC"
"9088","centroid_2853"," 09180 Brite Hierarchies","minC"
"9089","centroid_2854","   03036 Chromosome and associated proteins [BR:kpu03036]","minD"
"9090","centroid_2854","   04812 Cytoskeleton proteins [BR:kpu04812]","minD"
"9091","centroid_2854","  09182 Protein families: genetic information processing","minD"
"9092","centroid_2854","  09183 Protein families: signaling and cellular processes","minD"
"9093","centroid_2854"," 09180 Brite Hierarchies","minD"
"9094","centroid_2855","   03036 Chromosome and associated proteins [BR:kpu03036]","minE"
"9095","centroid_2855","   04812 Cytoskeleton proteins [BR:kpu04812]","minE"
"9096","centroid_2855","  09182 Protein families: genetic information processing","minE"
"9097","centroid_2855","  09183 Protein families: signaling and cellular processes","minE"
"9098","centroid_2855"," 09180 Brite Hierarchies","minE"
"9099","centroid_2856","    3.1.13.5  ribonuclease D","rnd"
"9100","centroid_2856","   03016 Transfer RNA biogenesis [BR:kpu03016]","rnd"
"9101","centroid_2856","   3.1.13  Exoribonucleases producing 5'-phosphomonoesters","rnd"
"9102","centroid_2856","  09182 Protein families: genetic information processing","rnd"
"9103","centroid_2856","  3.1  Acting on ester bonds","rnd"
"9104","centroid_2856"," 09180 Brite Hierarchies","rnd"
"9105","centroid_2856"," 3. Hydrolases","rnd"
"9106","centroid_2857","    6.2.1.3  long-chain-fatty-acid---CoA ligase","fadD"
"9107","centroid_2857","   00061 Fatty acid biosynthesis","fadD"
"9108","centroid_2857","   00071 Fatty acid degradation","fadD"
"9109","centroid_2857","   01004 Lipid biosynthesis proteins [BR:kpu01004]","fadD"
"9110","centroid_2857","   02024 Quorum sensing","fadD"
"9111","centroid_2857","   04147 Exosome [BR:kpu04147]","fadD"
"9112","centroid_2857","   6.2.1  Acid-thiol ligases","fadD"
"9113","centroid_2857","  09103 Lipid metabolism","fadD"
"9114","centroid_2857","  09145 Cellular community - prokaryotes","fadD"
"9115","centroid_2857","  09181 Protein families: metabolism","fadD"
"9116","centroid_2857","  09183 Protein families: signaling and cellular processes","fadD"
"9117","centroid_2857","  6.2  Forming carbon-sulfur bonds","fadD"
"9118","centroid_2857"," 09100 Metabolism","fadD"
"9119","centroid_2857"," 09140 Cellular Processes","fadD"
"9120","centroid_2857"," 09180 Brite Hierarchies","fadD"
"9121","centroid_2857"," 6. Ligases","fadD"
"9122","centroid_2858","   99992 Structural proteins","yeaY"
"9123","centroid_2858","  09193 Unclassified: signaling and cellular processes","yeaY"
"9124","centroid_2858"," 09190 Not Included in Pathway or Brite","yeaY"
"9125","centroid_2859","   03016 Transfer RNA biogenesis [BR:kpu03016]","yeaZ"
"9126","centroid_2859","  09182 Protein families: genetic information processing","yeaZ"
"9127","centroid_2859"," 09180 Brite Hierarchies","yeaZ"
"9128","centroid_2860","    3.6.4.12  DNA helicase","yoaA"
"9129","centroid_2860","   03400 DNA repair and recombination proteins [BR:kpu03400]","yoaA"
"9130","centroid_2860","   3.6.4  Acting on acid anhydrides to facilitate cellular and subcellular movement","yoaA"
"9131","centroid_2860","  09182 Protein families: genetic information processing","yoaA"
"9132","centroid_2860","  3.6  Acting on acid anhydrides","yoaA"
"9133","centroid_2860"," 09180 Brite Hierarchies","yoaA"
"9134","centroid_2860"," 3. Hydrolases","yoaA"
"9135","centroid_2862","   99997 Function unknown","(GenBank) hypothetical protein"
"9136","centroid_2862","  09194 Poorly characterized","(GenBank) hypothetical protein"
"9137","centroid_2862"," 09190 Not Included in Pathway or Brite","(GenBank) hypothetical protein"
"9138","centroid_2863","    2.6.1.85  aminodeoxychorismate synthase","pabB"
"9139","centroid_2863","   00790 Folate biosynthesis","pabB"
"9140","centroid_2863","   2.6.1  Transaminases","pabB"
"9141","centroid_2863","  09108 Metabolism of cofactors and vitamins","pabB"
"9142","centroid_2863","  2.6  Transferring nitrogenous groups","pabB"
"9143","centroid_2863"," 09100 Metabolism","pabB"
"9144","centroid_2863"," 2. Transferases","pabB"
"9145","centroid_2865","    4.3.1.17  L-serine ammonia-lyase","sdaA"
"9146","centroid_2865","   00260 Glycine, serine and threonine metabolism","sdaA"
"9147","centroid_2865","   00270 Cysteine and methionine metabolism","sdaA"
"9148","centroid_2865","   4.3.1  Ammonia-lyases","sdaA"
"9149","centroid_2865","  09105 Amino acid metabolism","sdaA"
"9150","centroid_2865","  4.3  Carbon-nitrogen lyases","sdaA"
"9151","centroid_2865"," 09100 Metabolism","sdaA"
"9152","centroid_2865"," 4. Lyases","sdaA"
"9153","centroid_2866","    3.1.4.52  cyclic-guanylate-specific phosphodiesterase","(GenBank) hypothetical protein"
"9154","centroid_2866","   3.1.4  Phosphoric-diester hydrolases","(GenBank) hypothetical protein"
"9155","centroid_2866","  3.1  Acting on ester bonds","(GenBank) hypothetical protein"
"9156","centroid_2866"," 3. Hydrolases","(GenBank) hypothetical protein"
"9157","centroid_2868","    2.7.1.191  protein-Npi-phosphohistidine---D-mannose phosphotransferase","manX"
"9158","centroid_2868","   00051 Fructose and mannose metabolism","manX"
"9159","centroid_2868","   00520 Amino sugar and nucleotide sugar metabolism","manX"
"9160","centroid_2868","   02000 Transporters [BR:kpu02000]","manX"
"9161","centroid_2868","   02060 Phosphotransferase system (PTS)","manX"
"9162","centroid_2868","   2.7.1  Phosphotransferases with an alcohol group as acceptor","manX"
"9163","centroid_2868","  09101 Carbohydrate metabolism","manX"
"9164","centroid_2868","  09131 Membrane transport","manX"
"9165","centroid_2868","  09183 Protein families: signaling and cellular processes","manX"
"9166","centroid_2868","  2.7  Transferring phosphorus-containing groups","manX"
"9167","centroid_2868"," 09100 Metabolism","manX"
"9168","centroid_2868"," 09130 Environmental Information Processing","manX"
"9169","centroid_2868"," 09180 Brite Hierarchies","manX"
"9170","centroid_2868"," 2. Transferases","manX"
"9171","centroid_2869","   00051 Fructose and mannose metabolism","manY"
"9172","centroid_2869","   00520 Amino sugar and nucleotide sugar metabolism","manY"
"9173","centroid_2869","   02000 Transporters [BR:kpu02000]","manY"
"9174","centroid_2869","   02060 Phosphotransferase system (PTS)","manY"
"9175","centroid_2869","  09101 Carbohydrate metabolism","manY"
"9176","centroid_2869","  09131 Membrane transport","manY"
"9177","centroid_2869","  09183 Protein families: signaling and cellular processes","manY"
"9178","centroid_2869"," 09100 Metabolism","manY"
"9179","centroid_2869"," 09130 Environmental Information Processing","manY"
"9180","centroid_2869"," 09180 Brite Hierarchies","manY"
"9181","centroid_2870","   00051 Fructose and mannose metabolism","manZ"
"9182","centroid_2870","   00520 Amino sugar and nucleotide sugar metabolism","manZ"
"9183","centroid_2870","   02000 Transporters [BR:kpu02000]","manZ"
"9184","centroid_2870","   02060 Phosphotransferase system (PTS)","manZ"
"9185","centroid_2870","  09101 Carbohydrate metabolism","manZ"
"9186","centroid_2870","  09131 Membrane transport","manZ"
"9187","centroid_2870","  09183 Protein families: signaling and cellular processes","manZ"
"9188","centroid_2870"," 09100 Metabolism","manZ"
"9189","centroid_2870"," 09130 Environmental Information Processing","manZ"
"9190","centroid_2870"," 09180 Brite Hierarchies","manZ"
"9191","centroid_2873","    2.1.1.187  23S rRNA (guanine745-N1)-methyltransferase","rrmA"
"9192","centroid_2873","   03009 Ribosome biogenesis [BR:kpu03009]","rrmA"
"9193","centroid_2873","   2.1.1  Methyltransferases","rrmA"
"9194","centroid_2873","   23S rRNA modification factors","rrmA"
"9195","centroid_2873","  09182 Protein families: genetic information processing","rrmA"
"9196","centroid_2873","  2.1  Transferring one-carbon groups","rrmA"
"9197","centroid_2873"," 09180 Brite Hierarchies","rrmA"
"9198","centroid_2873"," 2. Transferases","rrmA"
"9199","centroid_2874","    3.4.16.4  serine-type D-Ala-D-Ala carboxypeptidase","(GenBank) division-specific transpeptidase"
"9200","centroid_2874","   00550 Peptidoglycan biosynthesis","(GenBank) division-specific transpeptidase"
"9201","centroid_2874","   01011 Peptidoglycan biosynthesis and degradation proteins [BR:kpu01011]","(GenBank) division-specific transpeptidase"
"9202","centroid_2874","   01501 beta-Lactam resistance","(GenBank) division-specific transpeptidase"
"9203","centroid_2874","   03036 Chromosome and associated proteins [BR:kpu03036]","(GenBank) division-specific transpeptidase"
"9204","centroid_2874","   3.4.16  Serine-type carboxypeptidases","(GenBank) division-specific transpeptidase"
"9205","centroid_2874","  09107 Glycan biosynthesis and metabolism","(GenBank) division-specific transpeptidase"
"9206","centroid_2874","  09175 Drug resistance: antimicrobial","(GenBank) division-specific transpeptidase"
"9207","centroid_2874","  09181 Protein families: metabolism","(GenBank) division-specific transpeptidase"
"9208","centroid_2874","  09182 Protein families: genetic information processing","(GenBank) division-specific transpeptidase"
"9209","centroid_2874","  3.4  Acting on peptide bonds (peptidases)","(GenBank) division-specific transpeptidase"
"9210","centroid_2874"," 09100 Metabolism","(GenBank) division-specific transpeptidase"
"9211","centroid_2874"," 09160 Human Diseases","(GenBank) division-specific transpeptidase"
"9212","centroid_2874"," 09180 Brite Hierarchies","(GenBank) division-specific transpeptidase"
"9213","centroid_2874"," 3. Hydrolases","(GenBank) division-specific transpeptidase"
"9214","centroid_2875","   99973 Transcription","cspC"
"9215","centroid_2875","  09192 Unclassified: genetic information processing","cspC"
"9216","centroid_2875"," 09190 Not Included in Pathway or Brite","cspC"
"9217","centroid_2879","   03000 Transcription factors [BR:kpu03000]","kdgR"
"9218","centroid_2879","  09182 Protein families: genetic information processing","kdgR"
"9219","centroid_2879"," 09180 Brite Hierarchies","kdgR"
"9220","centroid_288","   03000 Transcription factors [BR:kpu03000]","soxS"
"9221","centroid_288","  09182 Protein families: genetic information processing","soxS"
"9222","centroid_288"," 09180 Brite Hierarchies","soxS"
"9223","centroid_2880","   02000 Transporters [BR:kpu02000]","yebQ"
"9224","centroid_2880","  09183 Protein families: signaling and cellular processes","yebQ"
"9225","centroid_2880"," 09180 Brite Hierarchies","yebQ"
"9226","centroid_2881","    3.4.24.-","htpX"
"9227","centroid_2881","   01002 Peptidases and inhibitors [BR:kpu01002]","htpX"
"9228","centroid_2881","   3.4.24  Metalloendopeptidases","htpX"
"9229","centroid_2881","  09181 Protein families: metabolism","htpX"
"9230","centroid_2881","  3.4  Acting on peptide bonds (peptidases)","htpX"
"9231","centroid_2881"," 09180 Brite Hierarchies","htpX"
"9232","centroid_2881"," 3. Hydrolases","htpX"
"9233","centroid_2882","    3.4.21.102  C-terminal processing peptidase","prc"
"9234","centroid_2882","   01002 Peptidases and inhibitors [BR:kpu01002]","prc"
"9235","centroid_2882","   3.4.21  Serine endopeptidases","prc"
"9236","centroid_2882","  09181 Protein families: metabolism","prc"
"9237","centroid_2882","  3.4  Acting on peptide bonds (peptidases)","prc"
"9238","centroid_2882"," 09180 Brite Hierarchies","prc"
"9239","centroid_2882"," 3. Hydrolases","prc"
"9240","centroid_2883","   99995 Signaling proteins","proQ"
"9241","centroid_2883","  09193 Unclassified: signaling and cellular processes","proQ"
"9242","centroid_2883"," 09190 Not Included in Pathway or Brite","proQ"
"9243","centroid_2884","    1.8.4.14  L-methionine (R)-S-oxide reductase","(GenBank) hypothetical protein"
"9244","centroid_2884","   00270 Cysteine and methionine metabolism","(GenBank) hypothetical protein"
"9245","centroid_2884","   1.8.4  With a disulfide as acceptor","(GenBank) hypothetical protein"
"9246","centroid_2884","  09105 Amino acid metabolism","(GenBank) hypothetical protein"
"9247","centroid_2884","  1.8  Acting on a sulfur group of donors","(GenBank) hypothetical protein"
"9248","centroid_2884"," 09100 Metabolism","(GenBank) hypothetical protein"
"9249","centroid_2884"," 1. Oxidoreductases","(GenBank) hypothetical protein"
"9250","centroid_2885","   99996 General function prediction only","(GenBank) hypothetical protein"
"9251","centroid_2885","  09194 Poorly characterized","(GenBank) hypothetical protein"
"9252","centroid_2885"," 09190 Not Included in Pathway or Brite","(GenBank) hypothetical protein"
"9253","centroid_2887","    2.1.1.178  16S rRNA (cytosine1407-C5)-methyltransferase","yebU"
"9254","centroid_2887","   03009 Ribosome biogenesis [BR:kpu03009]","yebU"
"9255","centroid_2887","   16S rRNA modification factors","yebU"
"9256","centroid_2887","   2.1.1  Methyltransferases","yebU"
"9257","centroid_2887","  09182 Protein families: genetic information processing","yebU"
"9258","centroid_2887","  2.1  Transferring one-carbon groups","yebU"
"9259","centroid_2887"," 09180 Brite Hierarchies","yebU"
"9260","centroid_2887"," 2. Transferases","yebU"
"9261","centroid_289","   03000 Transcription factors [BR:kpu03000]","soxR"
"9262","centroid_289","  09182 Protein families: genetic information processing","soxR"
"9263","centroid_289"," 09180 Brite Hierarchies","soxR"
"9264","centroid_2890","    3.1.3.16  protein-serine/threonine phosphatase","pphA"
"9265","centroid_2890","   3.1.3  Phosphoric-monoester hydrolases","pphA"
"9266","centroid_2890","   99980 Enzymes with EC numbers","pphA"
"9267","centroid_2890","  09191 Unclassified: metabolism","pphA"
"9268","centroid_2890","  3.1  Acting on ester bonds","pphA"
"9269","centroid_2890"," 09190 Not Included in Pathway or Brite","pphA"
"9270","centroid_2890"," 3. Hydrolases","pphA"
"9271","centroid_2891","   99997 Function unknown","(GenBank) putative enzyme"
"9272","centroid_2891","  09194 Poorly characterized","(GenBank) putative enzyme"
"9273","centroid_2891"," 09190 Not Included in Pathway or Brite","(GenBank) putative enzyme"
"9274","centroid_2894","   02000 Transporters [BR:kpu02000]","yebZ"
"9275","centroid_2894","  09183 Protein families: signaling and cellular processes","yebZ"
"9276","centroid_2894"," 09180 Brite Hierarchies","yebZ"
"9277","centroid_2895","   02000 Transporters [BR:kpu02000]","(GenBank) hypothetical protein"
"9278","centroid_2895","  09183 Protein families: signaling and cellular processes","(GenBank) hypothetical protein"
"9279","centroid_2895"," 09180 Brite Hierarchies","(GenBank) hypothetical protein"
"9280","centroid_2896","    2.7.7.7  DNA-directed DNA polymerase","holE"
"9281","centroid_2896","   03030 DNA replication","holE"
"9282","centroid_2896","   03032 DNA replication proteins [BR:kpu03032]","holE"
"9283","centroid_2896","   03400 DNA repair and recombination proteins [BR:kpu03400]","holE"
"9284","centroid_2896","   03430 Mismatch repair","holE"
"9285","centroid_2896","   03440 Homologous recombination","holE"
"9286","centroid_2896","   2.7.7  Nucleotidyltransferases","holE"
"9287","centroid_2896","  09124 Replication and repair","holE"
"9288","centroid_2896","  09182 Protein families: genetic information processing","holE"
"9289","centroid_2896","  2.7  Transferring phosphorus-containing groups","holE"
"9290","centroid_2896"," 09120 Genetic Information Processing","holE"
"9291","centroid_2896"," 09180 Brite Hierarchies","holE"
"9292","centroid_2896"," 2. Transferases","holE"
"9293","centroid_2897","    3.1.11.-","exoX"
"9294","centroid_2897","   03400 DNA repair and recombination proteins [BR:kpu03400]","exoX"
"9295","centroid_2897","   03430 Mismatch repair","exoX"
"9296","centroid_2897","   3.1.11  Exodeoxyribonucleases producing 5'-phosphomonoesters","exoX"
"9297","centroid_2897","  09124 Replication and repair","exoX"
"9298","centroid_2897","  09182 Protein families: genetic information processing","exoX"
"9299","centroid_2897","  3.1  Acting on ester bonds","exoX"
"9300","centroid_2897"," 09120 Genetic Information Processing","exoX"
"9301","centroid_2897"," 09180 Brite Hierarchies","exoX"
"9302","centroid_2897"," 3. Hydrolases","exoX"
"9303","centroid_2898","    3.4.21.83  oligopeptidase B","ptrB"
"9304","centroid_2898","   01002 Peptidases and inhibitors [BR:kpu01002]","ptrB"
"9305","centroid_2898","   3.4.21  Serine endopeptidases","ptrB"
"9306","centroid_2898","  09181 Protein families: metabolism","ptrB"
"9307","centroid_2898","  3.4  Acting on peptide bonds (peptidases)","ptrB"
"9308","centroid_2898"," 09180 Brite Hierarchies","ptrB"
"9309","centroid_2898"," 3. Hydrolases","ptrB"
"9310","centroid_29","   99996 General function prediction only","rbn"
"9311","centroid_29","  09194 Poorly characterized","rbn"
"9312","centroid_29"," 09190 Not Included in Pathway or Brite","rbn"
"9313","centroid_290","    2.5.1.18  glutathione transferase","(GenBank) putative glutathione S-transferase"
"9314","centroid_290","   00480 Glutathione metabolism","(GenBank) putative glutathione S-transferase"
"9315","centroid_290","   02000 Transporters [BR:kpu02000]","(GenBank) putative glutathione S-transferase"
"9316","centroid_290","   2.5.1  Transferring alkyl or aryl groups, other than methyl groups (only sub-subclass identified to date)","(GenBank) putative glutathione S-transferase"
"9317","centroid_290","  09106 Metabolism of other amino acids","(GenBank) putative glutathione S-transferase"
"9318","centroid_290","  09183 Protein families: signaling and cellular processes","(GenBank) putative glutathione S-transferase"
"9319","centroid_290","  2.5  Transferring alkyl or aryl groups, other than methyl groups","(GenBank) putative glutathione S-transferase"
"9320","centroid_290"," 09100 Metabolism","(GenBank) putative glutathione S-transferase"
"9321","centroid_290"," 09180 Brite Hierarchies","(GenBank) putative glutathione S-transferase"
"9322","centroid_290"," 2. Transferases","(GenBank) putative glutathione S-transferase"
"9323","centroid_2900","    2.1.2.2  phosphoribosylglycinamide formyltransferase","purT"
"9324","centroid_2900","   00230 Purine metabolism","purT"
"9325","centroid_2900","   00670 One carbon pool by folate","purT"
"9326","centroid_2900","   2.1.2  Hydroxymethyl-, formyl- and related transferases","purT"
"9327","centroid_2900","  09104 Nucleotide metabolism","purT"
"9328","centroid_2900","  09108 Metabolism of cofactors and vitamins","purT"
"9329","centroid_2900","  2.1  Transferring one-carbon groups","purT"
"9330","centroid_2900"," 09100 Metabolism","purT"
"9331","centroid_2900"," 2. Transferases","purT"
"9332","centroid_2901","   99997 Function unknown","yebG"
"9333","centroid_2901","  09194 Poorly characterized","yebG"
"9334","centroid_2901"," 09190 Not Included in Pathway or Brite","yebG"
"9335","centroid_2902","    4.1.2.14  2-dehydro-3-deoxy-phosphogluconate aldolase","eda"
"9336","centroid_2902","    4.1.3.42  (4S)-4-hydroxy-2-oxoglutarate aldolase","eda"
"9337","centroid_2902","   00030 Pentose phosphate pathway","eda"
"9338","centroid_2902","   00630 Glyoxylate and dicarboxylate metabolism","eda"
"9339","centroid_2902","   4.1.2  Aldehyde-lyases","eda"
"9340","centroid_2902","   4.1.3  Oxo-acid-lyases","eda"
"9341","centroid_2902","  09101 Carbohydrate metabolism","eda"
"9342","centroid_2902","  4.1  Carbon-carbon lyases","eda"
"9343","centroid_2902"," 09100 Metabolism","eda"
"9344","centroid_2902"," 4. Lyases","eda"
"9345","centroid_2902","2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]","eda"
"9346","centroid_2903","    4.2.1.12  phosphogluconate dehydratase","edd"
"9347","centroid_2903","   00030 Pentose phosphate pathway","edd"
"9348","centroid_2903","   4.2.1  Hydro-lyases","edd"
"9349","centroid_2903","  09101 Carbohydrate metabolism","edd"
"9350","centroid_2903","  4.2  Carbon-oxygen lyases","edd"
"9351","centroid_2903"," 09100 Metabolism","edd"
"9352","centroid_2903"," 4. Lyases","edd"
"9353","centroid_2904","    1.1.1.363  glucose-6-phosphate dehydrogenase [NAD(P)+]","zwf"
"9354","centroid_2904","    1.1.1.49  glucose-6-phosphate dehydrogenase (NADP+)","zwf"
"9355","centroid_2904","   00030 Pentose phosphate pathway","zwf"
"9356","centroid_2904","   00480 Glutathione metabolism","zwf"
"9357","centroid_2904","   04147 Exosome [BR:kpu04147]","zwf"
"9358","centroid_2904","   1.1.1  With NAD+ or NADP+ as acceptor","zwf"
"9359","centroid_2904","  09101 Carbohydrate metabolism","zwf"
"9360","centroid_2904","  09106 Metabolism of other amino acids","zwf"
"9361","centroid_2904","  09183 Protein families: signaling and cellular processes","zwf"
"9362","centroid_2904","  1.1  Acting on the CH-OH group of donors","zwf"
"9363","centroid_2904"," 09100 Metabolism","zwf"
"9364","centroid_2904"," 09180 Brite Hierarchies","zwf"
"9365","centroid_2904"," 1. Oxidoreductases","zwf"
"9366","centroid_2904","glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]","zwf"
"9367","centroid_291","   02000 Transporters [BR:kpu02000]","(GenBank) hypothetical protein"
"9368","centroid_291","  09183 Protein families: signaling and cellular processes","(GenBank) hypothetical protein"
"9369","centroid_291"," 09180 Brite Hierarchies","(GenBank) hypothetical protein"
"9370","centroid_2912","   02000 Transporters [BR:kpu02000]","zunB"
"9371","centroid_2912","   02010 ABC transporters","zunB"
"9372","centroid_2912","  09131 Membrane transport","zunB"
"9373","centroid_2912","  09183 Protein families: signaling and cellular processes","zunB"
"9374","centroid_2912"," 09130 Environmental Information Processing","zunB"
"9375","centroid_2912"," 09180 Brite Hierarchies","zunB"
"9376","centroid_2913","    3.6.4.12  DNA helicase","ruvB"
"9377","centroid_2913","   03400 DNA repair and recombination proteins [BR:kpu03400]","ruvB"
"9378","centroid_2913","   03440 Homologous recombination","ruvB"
"9379","centroid_2913","   3.6.4  Acting on acid anhydrides to facilitate cellular and subcellular movement","ruvB"
"9380","centroid_2913","  09124 Replication and repair","ruvB"
"9381","centroid_2913","  09182 Protein families: genetic information processing","ruvB"
"9382","centroid_2913","  3.6  Acting on acid anhydrides","ruvB"
"9383","centroid_2913"," 09120 Genetic Information Processing","ruvB"
"9384","centroid_2913"," 09180 Brite Hierarchies","ruvB"
"9385","centroid_2913"," 3. Hydrolases","ruvB"
"9386","centroid_2914","    3.6.4.12  DNA helicase","ruvA"
"9387","centroid_2914","   03400 DNA repair and recombination proteins [BR:kpu03400]","ruvA"
"9388","centroid_2914","   03440 Homologous recombination","ruvA"
"9389","centroid_2914","   3.6.4  Acting on acid anhydrides to facilitate cellular and subcellular movement","ruvA"
"9390","centroid_2914","  09124 Replication and repair","ruvA"
"9391","centroid_2914","  09182 Protein families: genetic information processing","ruvA"
"9392","centroid_2914","  3.6  Acting on acid anhydrides","ruvA"
"9393","centroid_2914"," 09120 Genetic Information Processing","ruvA"
"9394","centroid_2914"," 09180 Brite Hierarchies","ruvA"
"9395","centroid_2914"," 3. Hydrolases","ruvA"
"9396","centroid_2915","    3.1.22.4  crossover junction endodeoxyribonuclease","ruvC"
"9397","centroid_2915","   03400 DNA repair and recombination proteins [BR:kpu03400]","ruvC"
"9398","centroid_2915","   03440 Homologous recombination","ruvC"
"9399","centroid_2915","   3.1.22  Endodeoxyribonucleases producing 3'-phosphomonoesters","ruvC"
"9400","centroid_2915","  09124 Replication and repair","ruvC"
"9401","centroid_2915","  09182 Protein families: genetic information processing","ruvC"
"9402","centroid_2915","  3.1  Acting on ester bonds","ruvC"
"9403","centroid_2915"," 09120 Genetic Information Processing","ruvC"
"9404","centroid_2915"," 09180 Brite Hierarchies","ruvC"
"9405","centroid_2915"," 3. Hydrolases","ruvC"
"9406","centroid_2917","    3.6.1.67  dihydroneopterin triphosphate diphosphatase","ntpA"
"9407","centroid_2917","   00790 Folate biosynthesis","ntpA"
"9408","centroid_2917","   3.6.1  In phosphorus-containing anhydrides","ntpA"
"9409","centroid_2917","  09108 Metabolism of cofactors and vitamins","ntpA"
"9410","centroid_2917","  3.6  Acting on acid anhydrides","ntpA"
"9411","centroid_2917"," 09100 Metabolism","ntpA"
"9412","centroid_2917"," 3. Hydrolases","ntpA"
"9413","centroid_2918","    6.1.1.12  aspartate---tRNA ligase","aspS"
"9414","centroid_2918","   00970 Aminoacyl-tRNA biosynthesis","aspS"
"9415","centroid_2918","   01007 Amino acid related enzymes [BR:kpu01007]","aspS"
"9416","centroid_2918","   03016 Transfer RNA biogenesis [BR:kpu03016]","aspS"
"9417","centroid_2918","   03029 Mitochondrial biogenesis [BR:kpu03029]","aspS"
"9418","centroid_2918","   6.1.1  Ligases forming aminoacyl-tRNA and related compounds","aspS"
"9419","centroid_2918","  09122 Translation","aspS"
"9420","centroid_2918","  09181 Protein families: metabolism","aspS"
"9421","centroid_2918","  09182 Protein families: genetic information processing","aspS"
"9422","centroid_2918","  6.1  Forming carbon-oxygen bonds","aspS"
"9423","centroid_2918"," 09120 Genetic Information Processing","aspS"
"9424","centroid_2918"," 09180 Brite Hierarchies","aspS"
"9425","centroid_2918"," 6. Ligases","aspS"
"9426","centroid_292","   02000 Transporters [BR:kpu02000]","yjcE"
"9427","centroid_292","  09183 Protein families: signaling and cellular processes","yjcE"
"9428","centroid_292"," 09180 Brite Hierarchies","yjcE"
"9429","centroid_2921","   99997 Function unknown","(GenBank) hypothetical protein"
"9430","centroid_2921","  09194 Poorly characterized","(GenBank) hypothetical protein"
"9431","centroid_2921"," 09190 Not Included in Pathway or Brite","(GenBank) hypothetical protein"
"9432","centroid_2922","    2.1.1.-","yecO"
"9433","centroid_2922","   03016 Transfer RNA biogenesis [BR:kpu03016]","yecO"
"9434","centroid_2922","   2.1.1  Methyltransferases","yecO"
"9435","centroid_2922","  09182 Protein families: genetic information processing","yecO"
"9436","centroid_2922","  2.1  Transferring one-carbon groups","yecO"
"9437","centroid_2922"," 09180 Brite Hierarchies","yecO"
"9438","centroid_2922"," 2. Transferases","yecO"
"9439","centroid_2923","    2.1.1.-","yecP"
"9440","centroid_2923","   03016 Transfer RNA biogenesis [BR:kpu03016]","yecP"
"9441","centroid_2923","   2.1.1  Methyltransferases","yecP"
"9442","centroid_2923","  09182 Protein families: genetic information processing","yecP"
"9443","centroid_2923","  2.1  Transferring one-carbon groups","yecP"
"9444","centroid_2923"," 09180 Brite Hierarchies","yecP"
"9445","centroid_2923"," 2. Transferases","yecP"
"9446","centroid_2924","   99994 Others","cutC"
"9447","centroid_2924","  09193 Unclassified: signaling and cellular processes","cutC"
"9448","centroid_2924"," 09190 Not Included in Pathway or Brite","cutC"
"9449","centroid_2936","   02000 Transporters [BR:kpu02000]","togT"
"9450","centroid_2936","  09183 Protein families: signaling and cellular processes","togT"
"9451","centroid_2936"," 09180 Brite Hierarchies","togT"
"9452","centroid_294","   02000 Transporters [BR:kpu02000]","(GenBank) putative inner membrane protein"
"9453","centroid_294","  09183 Protein families: signaling and cellular processes","(GenBank) putative inner membrane protein"
"9454","centroid_294"," 09180 Brite Hierarchies","(GenBank) putative inner membrane protein"
"9455","centroid_2941","    1.16.3.2  bacterial non-heme ferritin","ftnA"
"9456","centroid_2941","   1.16.3  With oxygen as acceptor","ftnA"
"9457","centroid_2941","   99980 Enzymes with EC numbers","ftnA"
"9458","centroid_2941","  09191 Unclassified: metabolism","ftnA"
"9459","centroid_2941","  1.16  Oxidizing metal ions","ftnA"
"9460","centroid_2941"," 09190 Not Included in Pathway or Brite","ftnA"
"9461","centroid_2941"," 1. Oxidoreductases","ftnA"
"9462","centroid_2943","   02000 Transporters [BR:kpu02000]","tyrP"
"9463","centroid_2943","  09183 Protein families: signaling and cellular processes","tyrP"
"9464","centroid_2943"," 09180 Brite Hierarchies","tyrP"
"9465","centroid_2944","   99997 Function unknown","(GenBank) hypothetical protein"
"9466","centroid_2944","  09194 Poorly characterized","(GenBank) hypothetical protein"
"9467","centroid_2944"," 09190 Not Included in Pathway or Brite","(GenBank) hypothetical protein"
"9468","centroid_2945","    4.3.3.7  4-hydroxy-tetrahydrodipicolinate synthase","dapA4"
"9469","centroid_2945","   00261 Monobactam biosynthesis","dapA4"
"9470","centroid_2945","   00300 Lysine biosynthesis","dapA4"
"9471","centroid_2945","   4.3.3  Amine-lyases","dapA4"
"9472","centroid_2945","  09105 Amino acid metabolism","dapA4"
"9473","centroid_2945","  09110 Biosynthesis of other secondary metabolites","dapA4"
"9474","centroid_2945","  4.3  Carbon-nitrogen lyases","dapA4"
"9475","centroid_2945"," 09100 Metabolism","dapA4"
"9476","centroid_2945"," 4. Lyases","dapA4"
"9477","centroid_2946","    2.7.8.5  CDP-diacylglycerol---glycerol-3-phosphate 1-phosphatidyltransferase","pgsA"
